variant,spectral_radius,seed,curvature_rad,vpt
connectome,0.0,0,0.2515994404478144,0.07471199999999999
connectome,0.0,1,0.2528480125420928,0.08829600000000001
connectome,0.0,2,0.25464176843960673,0.0760704
connectome,0.0,3,0.25484244392755984,0.06927839999999999
connectome,0.0,4,0.254112959110645,0.0692784
connectome,0.0,5,0.25370489978643046,0.0692784
connectome,0.0,6,0.2509492601658659,0.0787872
connectome,0.0,7,0.25455481225124205,0.0828624
connectome,0.0,8,0.25070504737749155,0.06791999999999998
connectome,0.0,9,0.253617670220566,0.06792000000000001
connectome,0.4,0,0.2516009443543713,0.9400128000000001
connectome,0.4,1,0.2528719237707944,1.0663440000000002
connectome,0.4,2,0.25473505695181226,1.1070959999999999
connectome,0.4,3,0.2548113142587043,1.1981088
connectome,0.4,4,0.25426346042782044,1.1505648
connectome,0.4,5,0.25360317545320366,1.025592
connectome,0.4,6,0.25098449500807113,1.1478479999999995
connectome,0.4,7,0.2546587948204524,1.0418927999999998
connectome,0.4,8,0.25070878174281563,1.0405343999999999
connectome,0.4,9,0.2535768125426152,0.9753311999999997
connectome,0.8,0,0.2518975371626704,1.304064
connectome,0.8,1,0.2529389143364707,1.4575632
connectome,0.8,2,0.2559502723274935,1.2999888
connectome,0.8,3,0.25440410392158413,1.3828511999999997
connectome,0.8,4,0.25468937677112286,1.453488
connectome,0.8,5,0.2534996048751485,1.2334272
connectome,0.8,6,0.25192148062768144,1.5173327999999997
connectome,0.8,7,0.25655694514235383,1.5363504
connectome,0.8,8,0.25189131166866874,1.3597584
connectome,0.8,9,0.2534569194461334,1.3774175999999998
connectome,1.2,0,0.25270105648120206,3.4870127999999996
connectome,1.2,1,0.2553806513898687,2.0009232
connectome,1.2,2,0.2576377921210163,1.1641487999999998
connectome,1.2,3,0.2519849504057663,1.534992
connectome,1.2,4,0.2554212726470757,1.351608
connectome,1.2,5,0.25544538102576164,3.3878496
connectome,1.2,6,0.25533122923787666,1.7224511999999994
connectome,1.2,7,0.2562953915133257,1.6518144
connectome,1.2,8,0.252092025945169,1.6884911999999996
connectome,1.2,9,0.2541343280555727,1.4657136
connectome,1.6,0,0.2547620096941023,2.3350896
connectome,1.6,1,0.2571145274210115,3.8632896000000003
connectome,1.6,2,0.2576687495936638,4.1471952
connectome,1.6,3,0.2558128206118144,4.2667344
connectome,1.6,4,0.2558591322097321,3.9067583999999997
connectome,1.6,5,0.25434217622770616,6.9482159999999995
connectome,1.6,6,0.25502081925182,5.6862623999999995
connectome,1.6,7,0.25803391221506294,4.083350399999999
connectome,1.6,8,0.25379834142528557,3.4870127999999996
connectome,1.6,9,0.2567785812924608,6.3532367999999995
connectome,2.0,0,0.25595449452908936,2.6312207999999995
connectome,2.0,1,0.25740381047639105,3.6065519999999993
connectome,2.0,2,0.25835188695537,4.9187664
connectome,2.0,3,0.25629064485297975,5.441750399999999
connectome,2.0,4,0.25780242539633885,0.9237119999999999
connectome,2.0,5,0.2565049596111204,6.254073599999999
connectome,2.0,6,0.25918808616802574,5.474352
connectome,2.0,7,0.2603419227851377,3.9447935999999997
connectome,2.0,8,0.2556699851490308,2.6814815999999997
